rank,feature,importance
1,duration,0.2770659122476333
2,day,0.10627445842866465
3,contact_ohe_unknown,0.053606930107464125
4,age,0.050531346710930354
5,month_ohe_jun,0.04744590398518617
6,month_ohe_apr,0.047285516993588905
7,housing_ohe_yes,0.04718591495259214
8,poutcome_ohe_success,0.03987941288352325
9,pdays,0.03304764932886627
10,balance,0.03072701498783891
11,month_ohe_oct,0.030426592445358516
12,month_ohe_mar,0.029556131967194376
13,campaign,0.024734626770100108
14,month_ohe_sep,0.02417595664156518
15,month_ohe_aug,0.016144763264011163
16,job_ohe_student,0.013199666852879795
17,month_ohe_dec,0.013020280369077876
18,previous,0.011559319972827758
19,month_ohe_nov,0.011507931799235002
20,month_ohe_feb,0.011373064451557936
21,contact_ohe_cellular,0.008540730178492523
22,month_ohe_may,0.008280849684546628
23,month_ohe_jul,0.007603620766407115
24,poutcome_ohe_unknown,0.006255006741053698
25,month_ohe_jan,0.004801023022612382
26,education_ohe_tertiary,0.004660192666078901
27,contact_ohe_telephone,0.004624522651728485
28,loan_ohe_no,0.004146599503810882
29,marital_ohe_married,0.0037761169850254847
30,job_ohe_blue-collar,0.0035025929408122216
