rank,feature,importance
1,duration,0.30600567771624665
2,day,0.09769716785164573
3,contact_ohe_unknown,0.057395381289682995
4,month_ohe_jun,0.05736423787610529
5,housing_ohe_yes,0.053118580240774725
6,poutcome_ohe_success,0.04947426786137304
7,month_ohe_apr,0.046275028458050406
8,age,0.046051452186315206
9,month_ohe_oct,0.032901094833405
10,month_ohe_mar,0.032071657315380225
11,pdays,0.030195153521325936
12,month_ohe_sep,0.026988412271423987
13,balance,0.019954738805921628
14,campaign,0.017008076720325883
15,job_ohe_student,0.014787824338061464
16,month_ohe_aug,0.014032111118378763
17,month_ohe_dec,0.012029524470922719
18,month_ohe_feb,0.009674529887672506
19,previous,0.008265270860326825
20,month_ohe_nov,0.008213683993220275
